
India;primary;Nebraska;EB1A;;02/25/2009;;;regular;yes;07/17/2009;;08/28/2009;pending;
India;primary;Texas;EB3;12/01/2002;10/26/2008;10/27/2008;10/27/2008;regular;no;;;;approved;09/02/2009
Turkey;primary;Texas;EB2;09/23/2008;04/29/2009;04/30/2009;04/30/2009;regular;yes;06/23/2009;one more RFE received at my co... more;;approved;09/08/2009
India;primary;Texas;EB3;12/18/2005;07/24/2007;07/25/2007;07/26/2007;regular;yes;08/27/2008;2005, 2006, 2007 Tax Retuns an... more;09/30/2008;approved;09/03/2009
India;primary;Texas;EB1C;;08/01/2008;08/05/2008;;regular;yes;06/17/2009;Received RFE for my I-140 on J... more;07/23/2009;approved;09/03/2009
India;primary;Nebraska;EB2;;11/26/2008;11/29/2008;;regular;;;;;approved;05/21/2008
India;primary;Texas;EB2;08/24/2004;07/15/2007;08/17/2007;10/17/2007;regular;no;04/04/2009;ability to pay;04/05/2009;approved;06/09/2009
India;primary;Texas;EB3;07/02/2007;02/21/2008;02/21/2008;02/22/2008;regular;yes;07/31/2009;;;approved;09/08/2009
Pakistan;primary;Texas;EB2;11/26/2008;07/01/2009;07/02/2009;07/02/2009;regular;;;;;approved;09/01/2009
India;primary;Nebraska;EB2;10/14/2008;06/05/2009;;;regular;no;;;;approved;09/08/2009
India;primary;Texas;EB1A;;11/26/2008;;;regular;;;;;pending;
Pakistan;primary;Nebraska;EB2;09/02/2008;07/13/2009;07/15/2009;;regular;;;;;approved;09/08/2009
India;primary;Nebraska;EB3;;06/21/2009;;;regular;;;;;approved;09/08/2009
India;primary;Texas;EB2;03/20/2005;08/10/2007;10/02/2007;10/03/2007;regular;yes;06/09/2009;Ability to Pay from year 2005;07/09/2009;approved;07/14/2009
India;primary;Texas;EB1B;;05/06/2008;05/08/2008;05/08/2008;regular;;;;;approved;12/15/2008
United Kingdom;primary;Texas;EB1C;;07/10/2009;07/16/2009;07/16/2009;regular;no;;;;approved;09/01/2009
India;primary;Nebraska;EB3;03/25/2005;07/22/2008;;;regular;no;;;;pending;
Pakistan;primary;Texas;EB2;08/25/2008;07/15/2009;;;premium;no;;;;approved;07/24/2009
Philippines;primary;Nebraska;EB2;09/24/2008;08/28/2009;09/01/2009;09/01/2009;premium;no;;;;approved;09/03/2009
India;;Texas;EB3;;;05/07/2008;;regular;no;;;;pending;
India;primary;Nebraska;EB1C;;03/27/2009;;;regular;;;;;approved;09/02/2009
India;primary;Nebraska;EB3;08/14/2004;06/12/2007;06/13/2007;06/26/2007;regular;no;;;;approved;12/24/2008
South Korea;primary;Texas;EB1B;;04/01/2009;04/02/2009;;regular;no;;;;approved;09/03/2009
India;primary;Nebraska;EB1C;;02/15/2009;;;regular;yes;07/27/2009;Org Charts, W2;09/02/2009;approved;09/04/2009
India;primary;Nebraska;EB2;09/09/2008;05/28/2009;05/28/2009;;regular;;;;;approved;09/04/2009
Canada;primary;Texas;EB2-NIW;;06/02/2009;06/05/2009;06/05/2009;regular;no;;;;approved;09/02/2009
India;primary;Nebraska;EB1C;;03/13/2009;03/17/2009;03/20/2009;regular;no;;;;approved;09/02/2009
Malaysia;primary;Texas;EB2;09/06/2007;08/18/2009;08/20/2009;;premium;no;;;;approved;09/03/2009
South Korea;primary;Nebraska;EB2;09/09/2008;07/21/2009;07/24/2009;07/27/2009;regular;;;;;pending;
India;primary;Texas;EB1B;;07/10/2009;07/16/2009;;regular;no;;;;approved;08/20/2009
Netherlands;primary;Nebraska;EB3;03/25/2005;06/14/2009;06/19/2009;06/20/2009;regular;no;;;;approved;09/01/2009
Bangladesh;primary;Nebraska;EB2;;07/01/2009;;;regular;no;;;;approved;09/03/2009
Pakistan;primary;Nebraska;EB2;08/25/2008;05/26/2009;05/28/2009;;regular;no;;;;approved;09/03/2009
India;primary;Texas;EB2;03/22/2005;11/24/2007;;;regular;;;;;approved;04/29/2009
India;primary;Nebraska;EB2;08/28/2004;04/15/2009;;;premium;no;;;;approved;07/21/2009
Brazil;primary;Texas;EB3;06/21/2002;06/21/2001;06/21/2002;06/21/2002;regular;yes;10/16/2008;Proof of employment;10/27/2008;denied;08/27/2009
China;primary;Nebraska;EB1B;;05/08/2009;05/10/2009;;premium;yes;07/15/2009;Challenge 5 criteria, acknowle... more;08/25/2009;denied;09/02/2009
South Korea;primary;Nebraska;EB3;11/11/2008;06/11/2009;06/12/2009;08/27/2009;regular;no;;;;approved;08/27/2009
South Korea;dependent;Nebraska;EB3;10/28/2008;06/14/2009;06/22/2009;;regular;;;;;approved;09/02/2009
India;primary;Nebraska;EB2;05/10/2004;08/13/2007;08/14/2007;10/05/2007;regular;yes;;;07/09/2008;approved;07/30/2008
Taiwan;primary;Nebraska;EB2;08/29/2008;05/15/2009;05/18/2009;;regular;no;;;;approved;09/01/2009
